generation,best_score,avg_score,worst_score,mutation_rate
1,2.900000,-3.842800,-8.700000,0.050000
2,4.000000,0.674000,-5.550000,0.050000
3,5.000000,3.679643,0.500000,0.050000
4,5.400000,4.079856,1.100000,0.050000
5,5.800000,5.042754,2.500000,0.050000
6,6.200000,5.423913,4.100000,0.025000
7,6.200000,6.099275,5.000000,0.025000
8,6.200000,6.160870,2.600000,0.025000
9,6.200000,6.189855,4.800000,0.025000
10,6.200000,6.169565,3.500000,0.025000
11,6.200000,6.168116,1.800000,0.012500
12,6.200000,6.200000,6.200000,0.012500
13,6.200000,6.163043,3.200000,0.012500
14,6.200000,6.185507,4.200000,0.012500
15,6.200000,6.160145,3.100000,0.012500
16,6.200000,6.200000,6.200000,0.006250
17,6.200000,6.200000,6.200000,0.006250
18,6.200000,6.188406,4.600000,0.006250
19,6.200000,6.181159,3.600000,0.006250
20,6.200000,6.163768,3.800000,0.006250
21,6.200000,6.167391,1.700000,0.003125
22,6.200000,6.176087,3.600000,0.003125
23,6.200000,6.200000,6.200000,0.003125
24,6.200000,6.178261,3.200000,0.003125
25,6.200000,6.189130,4.700000,0.003125
26,6.200000,6.200000,6.200000,0.001563
27,6.200000,6.200000,6.200000,0.001563
28,6.200000,6.187681,4.500000,0.001563
29,6.200000,6.200000,6.200000,0.001563
30,6.200000,6.200000,6.200000,0.001563
31,6.200000,6.200000,6.200000,0.001000
32,6.200000,6.200000,6.200000,0.001000
33,6.200000,6.200000,6.200000,0.001000
34,6.200000,6.200000,6.200000,0.001000
35,6.200000,6.200000,6.200000,0.001000
36,6.200000,6.200000,6.200000,0.001000
37,6.200000,6.200000,6.200000,0.001000
38,6.200000,6.200000,6.200000,0.001000
39,6.200000,6.200000,6.200000,0.001000
40,6.200000,6.200000,6.200000,0.001000
41,6.200000,6.200000,6.200000,0.001000
42,6.200000,6.200000,6.200000,0.001000
43,6.200000,6.200000,6.200000,0.001000
44,6.200000,6.200000,6.200000,0.001000
45,6.200000,6.200000,6.200000,0.001000
46,6.200000,6.200000,6.200000,0.001000
47,6.200000,6.200000,6.200000,0.001000
48,6.200000,6.200000,6.200000,0.001000
49,6.200000,6.200000,6.200000,0.001000
50,6.200000,6.200000,6.200000,0.001000
51,6.200000,6.200000,6.200000,0.001000
52,6.200000,6.200000,6.200000,0.001000
53,6.200000,6.200000,6.200000,0.001000
54,6.200000,6.200000,6.200000,0.001000
55,6.200000,6.200000,6.200000,0.001000
56,6.200000,6.200000,6.200000,0.001000
57,6.200000,6.200000,6.200000,0.001000
58,6.200000,6.200000,6.200000,0.001000
59,6.200000,6.200000,6.200000,0.001000
60,6.200000,6.200000,6.200000,0.001000
61,6.200000,6.200000,6.200000,0.001000
62,6.200000,6.200000,6.200000,0.001000
63,6.200000,6.200000,6.200000,0.001000
64,6.200000,6.200000,6.200000,0.001000
65,6.200000,6.200000,6.200000,0.001000
66,6.200000,6.200000,6.200000,0.001000
67,6.200000,6.182609,3.800000,0.001000
68,6.200000,6.200000,6.200000,0.001000
69,6.200000,6.200000,6.200000,0.001000
70,6.200000,6.200000,6.200000,0.001000
71,6.200000,6.200000,6.200000,0.001000
72,6.200000,6.200000,6.200000,0.001000
73,6.200000,6.200000,6.200000,0.001000
74,6.200000,6.200000,6.200000,0.001000
75,6.200000,6.200000,6.200000,0.001000
76,6.200000,6.200000,6.200000,0.001000
77,6.200000,6.176087,2.900000,0.001000
78,6.200000,6.200000,6.200000,0.001000
79,6.200000,6.200000,6.200000,0.001000
80,6.200000,6.200000,6.200000,0.001000
81,6.200000,6.200000,6.200000,0.001000
82,6.200000,6.189855,4.800000,0.001000
83,6.200000,6.200000,6.200000,0.001000
84,6.200000,6.200000,6.200000,0.001000
85,6.200000,6.200000,6.200000,0.001000
86,6.200000,6.200000,6.200000,0.001000
87,6.200000,6.200000,6.200000,0.001000
88,6.200000,6.200000,6.200000,0.001000
89,6.200000,6.200000,6.200000,0.001000
90,6.200000,6.200000,6.200000,0.001000
91,6.200000,6.200000,6.200000,0.001000
92,6.200000,6.200000,6.200000,0.001000
93,6.200000,6.197101,5.800000,0.001000
94,6.200000,6.200000,6.200000,0.001000
95,6.200000,6.200000,6.200000,0.001000
96,6.200000,6.200000,6.200000,0.001000
97,6.200000,6.200000,6.200000,0.001000
98,6.200000,6.200000,6.200000,0.001000
99,6.200000,6.200000,6.200000,0.001000
100,6.200000,6.200000,6.200000,0.001000
